1,Rip Curl Mirage Core,bw,The Mirage Core boardshort is designed with elastostretch 3 fabric for ultimate comfort and performance.,22.99,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short1.jpg
2,Billabong Fluid Airlite,bw,"The Fluid Airlite boardshort is made with 89 percent recycled polyester and 11 percent elastane. Provides high levels of flexibility, breathability, stability, and comfort.",19.99,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short2.jpg
3,Quiksilver Highline,bw,"The Highline New Wave Pro boardshort features a four-way stretch fabric, water-repellent hydrophobic coating, a 19'' mid-length outseam, and heat welded zip-up pocket.",24.59,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short3.jpg
4,O-Neill Hyperfreak,bw,"The Hyperfreak boardshort features a drawstring closure, a 21-inch outseam, anti-rash stretch hyper thread, and can be put in the washing machine.",15.49,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short4.jpg
5,Hurley Phantom Hyperweave,bw,"The Phantom Hyperweave boardshort features a quick-drying, four-way, long-lasting stretch fabric that lets you surf freely in any conditions. It is machine washable and extremely lightweight.",22.99,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short5.jpg
6,Volcom Deadly Plus Mod,bw,"The Deadly Plus Mod boardshort displays a four-way stretch, welded hems and inseam, and a welded side zip.",19.99,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short6.jpg
7,RVCA Eastern,bw,"The Eastern boardshort balances function and style. Features a water-repellent coating, a drawstring closure, a hook-and-loop closure with drawcord closure at fly.",24.59,http://localhost/php/ripshark/home/Store/images/clothing/bottom wear/short7.jpg
8,t-shirt,tw,The t-shirt Core boardshirt is designed with elastostretch 3 fabric for ultimate comfort and performance.,34.49,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt1.jpg
9,t-shirt,tw,The t-shirt Core boardshirt is designed with elastostretch 3 fabric for ultimate comfort and performance.,22.99,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt2.jpg
10,t-shirt,tw,The t-shirt Core boardshirt is designed with elastostretch 3 fabric for ultimate comfort and performance.,28.99,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt3.jpg
11,tank,tw,"The Fluid Airlite tank is made with 89 percent recycled polyester and 11 percent elastane. Provides high levels of flexibility, breathability, stability, and comfort.",12.99,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt4.jpg
12,tank,tw,"The Fluid Airlite tank is made with 89 percent recycled polyester and 11 percent elastane. Provides high levels of flexibility, breathability, stability, and comfort.",10.49,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt5.jpg
13,jacket,tw,"The Hyperfreak jacket features a drawstring closure, a 21-inch outseam, anti-rash stretch hyper thread, and can be put in the washing machine.",60.00,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt6.jpg
14,jacket,tw,"The Hyperfreak jacket features a drawstring closure, a 21-inch outseam, anti-rash stretch hyper thread, and can be put in the washing machine.",79.99,http://localhost/php/ripshark/home/Store/images/clothing/top wear/shirt7.jpg
15,Billabong Wetsuits,suit,"2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for Men
The 2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for men has all the features you need. The StretchFlight x3 neoprene gives you all of the warmth and flexibility you need. The asymmetrical front zip, glued and blind stitched seams and Flush Lock 2.0 stretch seals work together to prevent water from seeping in for maximum comfort.",120.00,http://localhost/php/ripshark/home/Store/images/clothing/suits/suit1.jpg
16,"Body Glove Wetsuit
",suit,"2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for Men
The 2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for men has all the features you need. The StretchFlight x3 neoprene gives you all of the warmth and flexibility you need. The asymmetrical front zip, glued and blind stitched seams and Flush Lock 2.0 stretch seals work together to prevent water from seeping in for maximum comfort.",239.99,http://localhost/php/ripshark/home/Store/images/clothing/suits/suit2.jpg
17,"Hurley Wetsuit
",suit,"2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for Men
The 2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for men has all the features you need. The StretchFlight x3 neoprene gives you all of the warmth and flexibility you need. The asymmetrical front zip, glued and blind stitched seams and Flush Lock 2.0 stretch seals work together to prevent water from seeping in for maximum comfort.",170.00,http://localhost/php/ripshark/home/Store/images/clothing/suits/suit3.jpg
18,"O Neill Wetsuit
",suit,"2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for Men
The 2/2mm Highline Ltd. Chest Zip Long Sleeve Springsuit for men has all the features you need. The StretchFlight x3 neoprene gives you all of the warmth and flexibility you need. The asymmetrical front zip, glued and blind stitched seams and Flush Lock 2.0 stretch seals work together to prevent water from seeping in for maximum comfort.",190.00,http://localhost/php/ripshark/home/Store/images/clothing/suits/suit4.jpeg
